,Unnamed: 0,95th_latency,avg_latency,client,client_sched,clients,duration,engine,engine_sched,file,kernel,machine,max_latency,min_latency,throughput
1499,1499,7.84,6.8,sysbench 1.1.0,Linux,32,300.0085,mongo v4.1.8,Linux,/home/dc/storage/i44/mongo/r4.1.8/509813f26d18055fc92c1569daca1450/data/CvTOra7y2KBMWV,4.19.0-ipanema-g9ba5ed25b696,i44,62.86,5.34,4707.1338
1500,1500,23.1,15.66,sysbench 1.1.0,Linux,128,300.0386,mongo v4.1.8,Linux,/home/dc/storage/i44/mongo/r4.1.8/509813f26d18055fc92c1569daca1450/data/WJNOsBrOe62p1X,4.19.0-ipanema-g9ba5ed25b696,i44,149.56,5.83,8171.2531
1501,1501,43.39,32.25,sysbench 1.1.0,Linux,256,300.0617,mongo v4.1.8,Linux,/home/dc/storage/i44/mongo/r4.1.8/509813f26d18055fc92c1569daca1450/data/KkeTNReJk4oqrM,4.19.0-ipanema-g9ba5ed25b696,i44,1108.19,6.93,7935.51
1502,1502,23.52,15.89,sysbench 1.1.0,Linux,128,300.0345,mongo v4.1.8,Linux,/home/dc/storage/i44/mongo/r4.1.8/509813f26d18055fc92c1569daca1450/data/l4myPC3YUIxvKL,4.19.0-ipanema-g9ba5ed25b696,i44,158.52,5.68,8054.4503
1503,1503,44.17,33.11,sysbench 1.1.0,Linux,256,300.0742,mongo v4.1.8,Linux,/home/dc/storage/i44/mongo/r4.1.8/509813f26d18055fc92c1569daca1450/data/s6cN4H9t1u8UD7,4.19.0-ipanema-g9ba5ed25b696,i44,1128.55,8.18,7728.6846
1504,1504,65.65,54.43,sysbench 1.1.0,Linux,400,300.1003,mongo v4.1.8,Linux,/home/dc/storage/i44/mongo/r4.1.8/509813f26d18055fc92c1569daca1450/data/CfYnpwGLjMIqH2,4.19.0-ipanema-g9ba5ed25b696,i44,1827.95,7.13,7345.7644
1505,1505,44.98,34.22,sysbench 1.1.0,Linux,256,300.0605,mongo v4.1.8,Linux,/home/dc/storage/i44/mongo/r4.1.8/509813f26d18055fc92c1569daca1450/data/Jx4DWEYsHAvLOO,4.19.0-ipanema-g9ba5ed25b696,i44,1143.06,7.39,7478.1140000000005
1506,1506,23.1,15.49,sysbench 1.1.0,Linux,128,300.0352,mongo v4.1.8,Linux,/home/dc/storage/i44/mongo/r4.1.8/509813f26d18055fc92c1569daca1450/data/TbA7fA4XIBtZL4,4.19.0-ipanema-g9ba5ed25b696,i44,135.72,5.63,8261.7903
1507,1507,7.98,6.9,sysbench 1.1.0,Linux,32,300.0082,mongo v4.1.8,Linux,/home/dc/storage/i44/mongo/r4.1.8/509813f26d18055fc92c1569daca1450/data/ISHaSgIFF089qE,4.19.0-ipanema-g9ba5ed25b696,i44,67.97,5.44,4638.7728
1508,1508,7.84,6.89,sysbench 1.1.0,Linux,32,300.0087,mongo v4.1.8,Linux,/home/dc/storage/i44/mongo/r4.1.8/509813f26d18055fc92c1569daca1450/data/OwYmMNoOpS4CjG,4.19.0-ipanema-g9ba5ed25b696,i44,69.19,5.41,4646.3452
1509,1509,10.84,9.56,sysbench 1.1.0,Linux,64,300.0169,mongo v4.1.8,Linux,/home/dc/storage/i44/mongo/r4.1.8/509813f26d18055fc92c1569daca1450/data/Anv0Ej1ql5Sr7l,4.19.0-ipanema-g9ba5ed25b696,i44,98.58,5.5,6691.2092
1510,1510,10.46,9.26,sysbench 1.1.0,Linux,64,300.0164,mongo v4.1.8,Linux,/home/dc/storage/i44/mongo/r4.1.8/509813f26d18055fc92c1569daca1450/data/NMoh0YnNjGjZqx,4.19.0-ipanema-g9ba5ed25b696,i44,99.03,5.52,6907.3989
1511,1511,44.17,33.48,sysbench 1.1.0,Linux,256,300.0604,mongo v4.1.8,Linux,/home/dc/storage/i44/mongo/r4.1.8/509813f26d18055fc92c1569daca1450/data/05GkW8Pc5FzlfV,4.19.0-ipanema-g9ba5ed25b696,i44,1121.79,7.18,7644.1422
1512,1512,10.65,9.41,sysbench 1.1.0,Linux,64,300.0166,mongo v4.1.8,Linux,/home/dc/storage/i44/mongo/r4.1.8/509813f26d18055fc92c1569daca1450/data/3V6ZYKTVQcUxG8,4.19.0-ipanema-g9ba5ed25b696,i44,88.74,5.58,6798.9675
1513,1513,7.84,6.85,sysbench 1.1.0,Linux,32,300.009,mongo v4.1.8,Linux,/home/dc/storage/i44/mongo/r4.1.8/509813f26d18055fc92c1569daca1450/data/eVJn5yzcHHbnQj,4.19.0-ipanema-g9ba5ed25b696,i44,68.22,5.41,4671.9639
1514,1514,63.32,52.65,sysbench 1.1.0,Linux,400,300.0977,mongo v4.1.8,Linux,/home/dc/storage/i44/mongo/r4.1.8/509813f26d18055fc92c1569daca1450/data/a5HC4tAfL3zGma,4.19.0-ipanema-g9ba5ed25b696,i44,1723.75,7.49,7594.6189
1515,1515,24.83,16.69,sysbench 1.1.0,Linux,128,300.0417,mongo v4.1.8,Linux,/home/dc/storage/i44/mongo/r4.1.8/509813f26d18055fc92c1569daca1450/data/RABfAympJ42eSt,4.19.0-ipanema-g9ba5ed25b696,i44,130.94,5.82,7666.5234
1516,1516,10.46,9.33,sysbench 1.1.0,Linux,64,300.0176,mongo v4.1.8,Linux,/home/dc/storage/i44/mongo/r4.1.8/509813f26d18055fc92c1569daca1450/data/mv5ehbRLtCjjaJ,4.19.0-ipanema-g9ba5ed25b696,i44,80.39,5.46,6854.0717
1517,1517,7.84,6.83,sysbench 1.1.0,Linux,32,300.0082,mongo v4.1.8,Linux,/home/dc/storage/i44/mongo/r4.1.8/509813f26d18055fc92c1569daca1450/data/iFf9HemtbLcng2,4.19.0-ipanema-g9ba5ed25b696,i44,80.8,5.35,4686.4556
