,Unnamed: 0,avg_latency,client,client_sched,clients,duration,engine,engine_sched,events,file,kernel,machine,max_latency,min_latency,p95th_latency,st_ctime,sum_latency,throughput
338,338,30.99,sysbench 1.1.0,cfs_wwc scheduling policy,256,300.0647,mongo v4.1.8,cfs_wwc scheduling policy,2478291,/home/dc/storage/i44/mongo/r4.1.8/730faba86fff98ff97b85d9d97267602/data/7DgztqYw1dfPeC,4.19.0-ipanema-gab29e103e36b,i44,2284.33,5.51,42.61,1553199164.3407805,76794221.18,8259.1875
339,339,49.35,sysbench 1.1.0,cfs_wwc scheduling policy,400,300.1012,mongo v4.1.8,cfs_wwc scheduling policy,2431271,/home/dc/storage/i44/mongo/r4.1.8/730faba86fff98ff97b85d9d97267602/data/5TwA8XPmpgo8Pj,4.19.0-ipanema-gab29e103e36b,i44,10828.82,5.59,64.47,1553199164.3407805,119993890.52,8101.5024
340,340,47.98,sysbench 1.1.0,cfs_wwc scheduling policy,400,302.9728,mongo v4.1.8,cfs_wwc scheduling policy,2500985,/home/dc/storage/i44/mongo/r4.1.8/730faba86fff98ff97b85d9d97267602/data/PxnuNc38SjuDUu,4.19.0-ipanema-gab29e103e36b,i44,17309.85,5.31,63.32,1553111723.1078734,119998172.31,8254.8179
341,341,9.7,sysbench 1.1.0,cfs_wwc scheduling policy,64,300.0165,mongo v4.1.8,cfs_wwc scheduling policy,1979316,/home/dc/storage/i44/mongo/r4.1.8/730faba86fff98ff97b85d9d97267602/data/TYoMd7WR2AugDO,4.19.0-ipanema-gab29e103e36b,i44,2208.03,5.08,12.08,1553111723.1118734,19195780.39,6597.3573
342,342,6.44,sysbench 1.1.0,cfs_wwc scheduling policy,32,300.0081,mongo v4.1.8,cfs_wwc scheduling policy,1490602,/home/dc/storage/i44/mongo/r4.1.8/730faba86fff98ff97b85d9d97267602/data/QFnQnja0aKczuh,4.19.0-ipanema-gab29e103e36b,i44,1924.43,4.93,7.56,1553248676.0179884,9597429.93,4968.5388
343,343,6.34,sysbench 1.1.0,cfs_wwc scheduling policy,32,300.0084,mongo v4.1.8,cfs_wwc scheduling policy,1513638,/home/dc/storage/i44/mongo/r4.1.8/730faba86fff98ff97b85d9d97267602/data/mKH0GeoeskgI5c,4.19.0-ipanema-gab29e103e36b,i44,290.75,4.98,7.43,1553111723.1118734,9597419.52,5045.3188
344,344,6.45,sysbench 1.1.0,cfs_wwc scheduling policy,32,300.0082,mongo v4.1.8,cfs_wwc scheduling policy,1487722,/home/dc/storage/i44/mongo/r4.1.8/730faba86fff98ff97b85d9d97267602/data/ALj3h73t1fktsf,4.19.0-ipanema-gab29e103e36b,i44,466.28,4.88,7.56,1553224840.479117,9597333.44,4958.9371
345,345,30.28,sysbench 1.1.0,cfs_wwc scheduling policy,256,300.0671,mongo v4.1.8,cfs_wwc scheduling policy,2535960,/home/dc/storage/i44/mongo/r4.1.8/730faba86fff98ff97b85d9d97267602/data/iOebZOUaboMYT2,4.19.0-ipanema-gab29e103e36b,i44,1967.21,5.58,41.85,1553248676.0259886,76793469.8,8451.3101
346,346,9.7,sysbench 1.1.0,cfs_wwc scheduling policy,64,300.0172,mongo v4.1.8,cfs_wwc scheduling policy,1979839,/home/dc/storage/i44/mongo/r4.1.8/730faba86fff98ff97b85d9d97267602/data/nnF3OUDMDebPmf,4.19.0-ipanema-gab29e103e36b,i44,2213.46,5.09,12.3,1553224840.4871173,19195472.67,6599.0845
347,347,9.69,sysbench 1.1.0,cfs_wwc scheduling policy,64,300.017,mongo v4.1.8,cfs_wwc scheduling policy,1980745,/home/dc/storage/i44/mongo/r4.1.8/730faba86fff98ff97b85d9d97267602/data/KVSiKIonqq2IJc,4.19.0-ipanema-gab29e103e36b,i44,2235.53,4.96,12.08,1553248676.0179884,19195632.96,6602.1102
348,348,50.13,sysbench 1.1.0,cfs_wwc scheduling policy,400,300.1024,mongo v4.1.8,cfs_wwc scheduling policy,2393948,/home/dc/storage/i44/mongo/r4.1.8/730faba86fff98ff97b85d9d97267602/data/TNgcWNSAG4bexp,4.19.0-ipanema-gab29e103e36b,i44,12402.78,5.6,66.84,1553248676.0179884,119997561.42,7977.1039
349,349,31.41,sysbench 1.1.0,cfs_wwc scheduling policy,256,300.0593,mongo v4.1.8,cfs_wwc scheduling policy,2444917,/home/dc/storage/i44/mongo/r4.1.8/730faba86fff98ff97b85d9d97267602/data/nmYzao6WZrFtXT,4.19.0-ipanema-gab29e103e36b,i44,6982.05,5.56,43.39,1553111723.1118734,76792285.28,8148.1123
350,350,15.41,sysbench 1.1.0,cfs_wwc scheduling policy,128,300.0332,mongo v4.1.8,cfs_wwc scheduling policy,2491555,/home/dc/storage/i44/mongo/r4.1.8/730faba86fff98ff97b85d9d97267602/data/VQdKa7e9ODJPSO,4.19.0-ipanema-gab29e103e36b,i44,3072.81,4.96,23.1,1553224840.479117,38393161.64,8304.2643
351,351,15.22,sysbench 1.1.0,cfs_wwc scheduling policy,128,300.0361,mongo v4.1.8,cfs_wwc scheduling policy,2522224,/home/dc/storage/i44/mongo/r4.1.8/730faba86fff98ff97b85d9d97267602/data/ueBqVIoVSGpOpt,4.19.0-ipanema-gab29e103e36b,i44,4394.7,5.12,23.1,1553111723.159875,38392986.23,8406.4028
352,352,30.65,sysbench 1.1.0,cfs_wwc scheduling policy,256,305.1961,mongo v4.1.8,cfs_wwc scheduling policy,2505742,/home/dc/storage/i44/mongo/r4.1.8/730faba86fff98ff97b85d9d97267602/data/ej6IVAHd4WvlSX,4.19.0-ipanema-gab29e103e36b,i44,5232.82,5.38,41.85,1553224840.483117,76799793.2,8210.2679
353,353,15.25,sysbench 1.1.0,cfs_wwc scheduling policy,128,300.0342,mongo v4.1.8,cfs_wwc scheduling policy,2517738,/home/dc/storage/i44/mongo/r4.1.8/730faba86fff98ff97b85d9d97267602/data/MPD3Dr1oO8exYN,4.19.0-ipanema-gab29e103e36b,i44,3487.82,5.18,23.1,1553248676.0179884,38393298.75,8391.5047
354,354,15.54,sysbench 1.1.0,cfs_wwc scheduling policy,128,300.8862,mongo v4.1.8,cfs_wwc scheduling policy,2471218,/home/dc/storage/i44/mongo/r4.1.8/730faba86fff98ff97b85d9d97267602/data/c0rSYvFstmEaeD,4.19.0-ipanema-gab29e103e36b,i44,3643.08,5.17,23.52,1553199164.3447802,38393868.85,8213.1309
