,95th_latency,avg_latency,client,client_sched,clients,duration,engine,engine_sched,file,kernel,machine,max_latency,min_latency,throughput
0,7.04,6.25,sysbench 1.1.0,ULE-WWC scheduling policy,8,300.0081,mongo v4.1.8,ULE-WWC scheduling policy,/home/dc/i80/mongo/storage/5c3b084a02c229de55301bf29334f26f/data/VI9ZwRCxrJJKL3,4.19.0-ipanema-g8cd6f0a04f0c,i80,82.96,4.88,1279.8955
1,7.04,6.45,sysbench 1.1.0,ULE-WWC scheduling policy,16,300.0082,mongo v4.1.8,ULE-WWC scheduling policy,/home/dc/i80/mongo/storage/5c3b084a02c229de55301bf29334f26f/data/iYfU1Uk47zSJHR,4.19.0-ipanema-g8cd6f0a04f0c,i80,64.75,5.27,2479.7723
2,6.43,6.0,sysbench 1.1.0,ULE-WWC scheduling policy,8,300.0079,mongo v4.1.8,ULE-WWC scheduling policy,/home/dc/i80/mongo/storage/5c3b084a02c229de55301bf29334f26f/data/tKlf0ARv6TfUNQ,4.19.0-ipanema-g8cd6f0a04f0c,i80,58.47,5.01,1332.5814
3,7.56,6.94,sysbench 1.1.0,ULE-WWC scheduling policy,32,300.0113,mongo v4.1.8,ULE-WWC scheduling policy,/home/dc/i80/mongo/storage/5c3b084a02c229de55301bf29334f26f/data/pLhjOIjL4S7JXK,4.19.0-ipanema-g8cd6f0a04f0c,i80,135.07,5.55,4610.1265
4,6.67,6.19,sysbench 1.1.0,ULE-WWC scheduling policy,8,300.0073,mongo v4.1.8,ULE-WWC scheduling policy,/home/dc/i80/mongo/storage/5c3b084a02c229de55301bf29334f26f/data/uGNO3jJYomRcq5,4.19.0-ipanema-g8cd6f0a04f0c,i80,59.81,4.95,1292.7685
5,11.45,9.84,sysbench 1.1.0,ULE-WWC scheduling policy,64,300.0225,mongo v4.1.8,ULE-WWC scheduling policy,/home/dc/i80/mongo/storage/5c3b084a02c229de55301bf29334f26f/data/abdH4GKLHvnAIi,4.19.0-ipanema-g8cd6f0a04f0c,i80,91.58,5.37,6504.779
6,20.74,17.38,sysbench 1.1.0,ULE-WWC scheduling policy,128,300.0523,mongo v4.1.8,ULE-WWC scheduling policy,/home/dc/i80/mongo/storage/5c3b084a02c229de55301bf29334f26f/data/f6AkIssrR7fcT8,4.19.0-ipanema-g8cd6f0a04f0c,i80,1376.08,5.71,7363.7168
7,44.98,33.77,sysbench 1.1.0,ULE-WWC scheduling policy,256,300.1134,mongo v4.1.8,ULE-WWC scheduling policy,/home/dc/i80/mongo/storage/5c3b084a02c229de55301bf29334f26f/data/Cv1SCrZlJXNV9c,4.19.0-ipanema-g8cd6f0a04f0c,i80,1311.74,7.31,7577.8162
8,43.39,32.91,sysbench 1.1.0,ULE-WWC scheduling policy,256,300.0852,mongo v4.1.8,ULE-WWC scheduling policy,/home/dc/i80/mongo/storage/5c3b084a02c229de55301bf29334f26f/data/0XQaXW3QP8UNGX,4.19.0-ipanema-g8cd6f0a04f0c,i80,1272.64,6.58,7776.6979
9,20.74,17.08,sysbench 1.1.0,ULE-WWC scheduling policy,128,300.0469,mongo v4.1.8,ULE-WWC scheduling policy,/home/dc/i80/mongo/storage/5c3b084a02c229de55301bf29334f26f/data/o4zAjlxZVYHZgs,4.19.0-ipanema-g8cd6f0a04f0c,i80,286.74,5.55,7491.0996
10,7.3,6.44,sysbench 1.1.0,ULE-WWC scheduling policy,16,300.009,mongo v4.1.8,ULE-WWC scheduling policy,/home/dc/i80/mongo/storage/5c3b084a02c229de55301bf29334f26f/data/IWfm3vbTxFS4Br,4.19.0-ipanema-g8cd6f0a04f0c,i80,75.87,5.09,2483.4924
11,8.28,7.09,sysbench 1.1.0,ULE-WWC scheduling policy,32,300.0116,mongo v4.1.8,ULE-WWC scheduling policy,/home/dc/i80/mongo/storage/5c3b084a02c229de55301bf29334f26f/data/CEtiKVcgPCBFeB,4.19.0-ipanema-g8cd6f0a04f0c,i80,77.09,5.33,4512.0129
12,7.17,6.29,sysbench 1.1.0,ULE-WWC scheduling policy,8,300.0079,mongo v4.1.8,ULE-WWC scheduling policy,/home/dc/i80/mongo/storage/5c3b084a02c229de55301bf29334f26f/data/vKtC5UuChGiwPg,4.19.0-ipanema-g8cd6f0a04f0c,i80,59.69,4.73,1270.9999
13,6.79,6.32,sysbench 1.1.0,ULE-WWC scheduling policy,16,300.0093,mongo v4.1.8,ULE-WWC scheduling policy,/home/dc/i80/mongo/storage/5c3b084a02c229de55301bf29334f26f/data/3ULObD9iNCdUqw,4.19.0-ipanema-g8cd6f0a04f0c,i80,65.2,5.08,2531.8345
14,12.3,10.3,sysbench 1.1.0,ULE-WWC scheduling policy,64,300.0227,mongo v4.1.8,ULE-WWC scheduling policy,/home/dc/i80/mongo/storage/5c3b084a02c229de55301bf29334f26f/data/qFIIzKg0eNNNBU,4.19.0-ipanema-g8cd6f0a04f0c,i80,216.97,5.27,6213.5222
15,7.17,6.41,sysbench 1.1.0,ULE-WWC scheduling policy,16,300.0089,mongo v4.1.8,ULE-WWC scheduling policy,/home/dc/i80/mongo/storage/5c3b084a02c229de55301bf29334f26f/data/ncALhhNQdPR74j,4.19.0-ipanema-g8cd6f0a04f0c,i80,64.3,5.0,2495.8061
16,42.61,33.13,sysbench 1.1.0,cfs scheduling policy,256,300.1129,mongo v4.1.8,cfs scheduling policy,/home/dc/i80/mongo/storage/d921e5fd213c2237ed14cdbfbd978fb8/data/MKqhT6hBlBMfmt,4.19.0-ipanema-g8cd6f0a04f0c,i80,1457.57,6.8,7723.9568
17,11.24,9.82,sysbench 1.1.0,cfs scheduling policy,64,300.0227,mongo v4.1.8,cfs scheduling policy,/home/dc/i80/mongo/storage/d921e5fd213c2237ed14cdbfbd978fb8/data/xAw8NpbTuCNGmr,4.19.0-ipanema-g8cd6f0a04f0c,i80,176.85,5.44,6514.377
18,8.58,7.39,sysbench 1.1.0,cfs scheduling policy,32,300.0108,mongo v4.1.8,cfs scheduling policy,/home/dc/i80/mongo/storage/d921e5fd213c2237ed14cdbfbd978fb8/data/dnWiL65m5CJUlm,4.19.0-ipanema-g8cd6f0a04f0c,i80,125.93,5.44,4325.9816
19,44.17,35.23,sysbench 1.1.0,cfs scheduling policy,256,300.1084,mongo v4.1.8,cfs scheduling policy,/home/dc/i80/mongo/storage/d921e5fd213c2237ed14cdbfbd978fb8/data/3zxNOp2sem10GW,4.19.0-ipanema-g8cd6f0a04f0c,i80,1717.47,7.59,7262.6847
20,8.13,7.24,sysbench 1.1.0,cfs scheduling policy,32,300.0103,mongo v4.1.8,cfs scheduling policy,/home/dc/i80/mongo/storage/d921e5fd213c2237ed14cdbfbd978fb8/data/4KldCUwhW5bsZ3,4.19.0-ipanema-g8cd6f0a04f0c,i80,129.48,5.3,4417.1289
21,7.56,6.47,sysbench 1.1.0,cfs scheduling policy,8,300.0076,mongo v4.1.8,cfs scheduling policy,/home/dc/i80/mongo/storage/d921e5fd213c2237ed14cdbfbd978fb8/data/g3sSu9h2mWEatO,4.19.0-ipanema-g8cd6f0a04f0c,i80,65.54,4.95,1235.8254
22,8.43,6.68,sysbench 1.1.0,cfs scheduling policy,8,300.0079,mongo v4.1.8,cfs scheduling policy,/home/dc/i80/mongo/storage/d921e5fd213c2237ed14cdbfbd978fb8/data/VYutebnTzDuSji,4.19.0-ipanema-g8cd6f0a04f0c,i80,102.32,5.18,1198.0485
23,7.04,6.47,sysbench 1.1.0,cfs scheduling policy,16,300.0086,mongo v4.1.8,cfs scheduling policy,/home/dc/i80/mongo/storage/d921e5fd213c2237ed14cdbfbd978fb8/data/CNvAI14jNUpE9E,4.19.0-ipanema-g8cd6f0a04f0c,i80,70.06,5.28,2472.1454
24,20.0,16.82,sysbench 1.1.0,cfs scheduling policy,128,300.0453,mongo v4.1.8,cfs scheduling policy,/home/dc/i80/mongo/storage/d921e5fd213c2237ed14cdbfbd978fb8/data/VhR3PQqByOnwVf,4.19.0-ipanema-g8cd6f0a04f0c,i80,334.32,5.36,7607.1634
25,11.45,10.06,sysbench 1.1.0,cfs scheduling policy,64,300.0223,mongo v4.1.8,cfs scheduling policy,/home/dc/i80/mongo/storage/d921e5fd213c2237ed14cdbfbd978fb8/data/3vdKBB7F4hpeOG,4.19.0-ipanema-g8cd6f0a04f0c,i80,204.7,5.88,6356.7472
26,7.84,6.69,sysbench 1.1.0,cfs scheduling policy,16,300.009,mongo v4.1.8,cfs scheduling policy,/home/dc/i80/mongo/storage/d921e5fd213c2237ed14cdbfbd978fb8/data/4kg079X3PwYr5E,4.19.0-ipanema-g8cd6f0a04f0c,i80,76.79,5.43,2392.0751
27,7.7,6.34,sysbench 1.1.0,cfs scheduling policy,8,300.0077,mongo v4.1.8,cfs scheduling policy,/home/dc/i80/mongo/storage/d921e5fd213c2237ed14cdbfbd978fb8/data/vJGtEKT0RjJYtt,4.19.0-ipanema-g8cd6f0a04f0c,i80,60.32,4.67,1260.921
28,21.89,17.87,sysbench 1.1.0,cfs scheduling policy,128,300.0443,mongo v4.1.8,cfs scheduling policy,/home/dc/i80/mongo/storage/d921e5fd213c2237ed14cdbfbd978fb8/data/ofCl4TvlxQtvsO,4.19.0-ipanema-g8cd6f0a04f0c,i80,293.56,5.57,7162.4891
29,7.04,6.27,sysbench 1.1.0,cfs scheduling policy,8,300.0069,mongo v4.1.8,cfs scheduling policy,/home/dc/i80/mongo/storage/d921e5fd213c2237ed14cdbfbd978fb8/data/j3RYnChgekBeGG,4.19.0-ipanema-g8cd6f0a04f0c,i80,60.64,4.98,1274.9942
30,7.98,6.88,sysbench 1.1.0,cfs scheduling policy,16,300.0083,mongo v4.1.8,cfs scheduling policy,/home/dc/i80/mongo/storage/d921e5fd213c2237ed14cdbfbd978fb8/data/RqgwvaIVKuopmt,4.19.0-ipanema-g8cd6f0a04f0c,i80,73.07,4.95,2324.1456
31,8.13,6.96,sysbench 1.1.0,cfs scheduling policy,16,300.0086,mongo v4.1.8,cfs scheduling policy,/home/dc/i80/mongo/storage/d921e5fd213c2237ed14cdbfbd978fb8/data/PSBR0I5fCJEp0W,4.19.0-ipanema-g8cd6f0a04f0c,i80,79.41,5.07,2298.5506
32,22.69,16.85,sysbench 1.1.0,Linux,128,300.0443,mongo v4.1.8,Linux,/home/dc/i80/mongo/storage/dd5741cfc1f16af6e96bf1394e144bbc/data/ejXPLErxHFDXeM,4.19.0-ipanema-g8cd6f0a04f0c,i80,135.32,5.58,7595.1962
33,6.79,6.24,sysbench 1.1.0,Linux,16,300.0089,mongo v4.1.8,Linux,/home/dc/i80/mongo/storage/dd5741cfc1f16af6e96bf1394e144bbc/data/1lZd8QXGj2WXxs,4.19.0-ipanema-g8cd6f0a04f0c,i80,65.13,4.54,2563.6143
34,6.55,6.04,sysbench 1.1.0,Linux,8,300.0093,mongo v4.1.8,Linux,/home/dc/i80/mongo/storage/dd5741cfc1f16af6e96bf1394e144bbc/data/N3Spm4sOJX9JiF,4.19.0-ipanema-g8cd6f0a04f0c,i80,62.52,4.7,1323.3656
35,48.34,32.41,sysbench 1.1.0,Linux,256,300.0951,mongo v4.1.8,Linux,/home/dc/i80/mongo/storage/dd5741cfc1f16af6e96bf1394e144bbc/data/pKlxpYMOqtBA6Q,4.19.0-ipanema-g8cd6f0a04f0c,i80,1136.87,6.88,7895.6211
