,95th_latency,avg_latency,client,client_sched,clients,duration,engine,engine_sched,file,kernel,machine,max_latency,min_latency,throughput
0,227.4,65.5,Sysbench 1.1.0-254f7b1,cfs,512,300.1583,MySQL 5.7.25,cfs,/home/dc/i80/mysql/storage/146ec90750c92f05d0b17e6383ba1f68/data/YZ3LkQwC6y38wl,4.19.0-ipanema-g8cd6f0a04f0c,i80,3474.21,1.87,7814.0311
1,56.84,28.64,Sysbench 1.1.0-254f7b1,cfs,256,300.0773,MySQL 5.7.25,cfs,/home/dc/i80/mysql/storage/146ec90750c92f05d0b17e6383ba1f68/data/pfYviskbasHcIC,4.19.0-ipanema-g8cd6f0a04f0c,i80,1890.96,1.82,8936.9742
2,28.16,16.36,Sysbench 1.1.0-254f7b1,cfs,160,300.0465,MySQL 5.7.25,cfs,/home/dc/i80/mysql/storage/146ec90750c92f05d0b17e6383ba1f68/data/hJ0y0LASzFhA5B,4.19.0-ipanema-g8cd6f0a04f0c,i80,3039.89,1.91,9775.0434
3,227.4,66.06,Sysbench 1.1.0-254f7b1,cfs,512,300.1658,MySQL 5.7.25,cfs,/home/dc/i80/mysql/storage/146ec90750c92f05d0b17e6383ba1f68/data/IbxNMc8fIpnxRT,4.19.0-ipanema-g8cd6f0a04f0c,i80,2892.35,2.08,7746.6428
4,4.49,3.38,Sysbench 1.1.0-254f7b1,cfs,32,300.0048,MySQL 5.7.25,cfs,/home/dc/i80/mysql/storage/146ec90750c92f05d0b17e6383ba1f68/data/Mzf9XF7KojnZQ9,4.19.0-ipanema-g8cd6f0a04f0c,i80,95.84,1.81,9453.3495
5,8.74,6.43,Sysbench 1.1.0-254f7b1,cfs,64,300.0107,MySQL 5.7.25,cfs,/home/dc/i80/mysql/storage/146ec90750c92f05d0b17e6383ba1f68/data/geUFQVvPOG2NE0,4.19.0-ipanema-g8cd6f0a04f0c,i80,108.77,1.78,9951.8806
6,16.41,11.03,Sysbench 1.1.0-254f7b1,cfs,128,300.0323,MySQL 5.7.25,cfs,/home/dc/i80/mysql/storage/146ec90750c92f05d0b17e6383ba1f68/data/y0rpLMxpN5HM3T,4.19.0-ipanema-g8cd6f0a04f0c,i80,1571.19,1.87,11601.8561
7,4.65,3.32,Sysbench 1.1.0-254f7b1,cfs,32,300.0047,MySQL 5.7.25,cfs,/home/dc/i80/mysql/storage/146ec90750c92f05d0b17e6383ba1f68/data/E2EwdpIVYAFI7a,4.19.0-ipanema-g8cd6f0a04f0c,i80,84.67,1.76,9639.2482
8,8.74,6.72,Sysbench 1.1.0-254f7b1,cfs,64,300.0101,MySQL 5.7.25,cfs,/home/dc/i80/mysql/storage/146ec90750c92f05d0b17e6383ba1f68/data/RSnsPDkqzbyp7D,4.19.0-ipanema-g8cd6f0a04f0c,i80,3324.18,1.66,9517.4817
9,57.87,28.79,Sysbench 1.1.0-254f7b1,cfs,256,300.0773,MySQL 5.7.25,cfs,/home/dc/i80/mysql/storage/146ec90750c92f05d0b17e6383ba1f68/data/FoycpzUbzCWy0T,4.19.0-ipanema-g8cd6f0a04f0c,i80,2041.47,1.9,8889.4893
10,16.41,11.27,Sysbench 1.1.0-254f7b1,cfs,128,300.0229,MySQL 5.7.25,cfs,/home/dc/i80/mysql/storage/146ec90750c92f05d0b17e6383ba1f68/data/o9YEU2a34RbMLw,4.19.0-ipanema-g8cd6f0a04f0c,i80,3436.76,1.66,11357.3342
11,57.87,28.4,Sysbench 1.1.0-254f7b1,cfs,256,300.0638,MySQL 5.7.25,cfs,/home/dc/i80/mysql/storage/146ec90750c92f05d0b17e6383ba1f68/data/gQm1RdHtHNHvwg,4.19.0-ipanema-g8cd6f0a04f0c,i80,1417.15,1.87,9010.4439
12,16.41,11.09,Sysbench 1.1.0-254f7b1,cfs,128,300.0286,MySQL 5.7.25,cfs,/home/dc/i80/mysql/storage/146ec90750c92f05d0b17e6383ba1f68/data/nkHh4v0xJsQjuU,4.19.0-ipanema-g8cd6f0a04f0c,i80,228.18,1.92,11538.2349
13,27.66,16.28,Sysbench 1.1.0-254f7b1,cfs,160,300.1022,MySQL 5.7.25,cfs,/home/dc/i80/mysql/storage/146ec90750c92f05d0b17e6383ba1f68/data/NfHO3wVPGiaet0,4.19.0-ipanema-g8cd6f0a04f0c,i80,3139.47,1.81,9824.6436
14,28.16,16.11,Sysbench 1.1.0-254f7b1,cfs,160,300.0448,MySQL 5.7.25,cfs,/home/dc/i80/mysql/storage/146ec90750c92f05d0b17e6383ba1f68/data/fgxDXFzaxWGmof,4.19.0-ipanema-g8cd6f0a04f0c,i80,707.38,1.88,9927.5393
15,57.87,28.66,Sysbench 1.1.0-254f7b1,cfs,256,300.0664,MySQL 5.7.25,cfs,/home/dc/i80/mysql/storage/146ec90750c92f05d0b17e6383ba1f68/data/BnIxUGovF2ctrT,4.19.0-ipanema-g8cd6f0a04f0c,i80,1740.79,1.96,8929.8291
16,4.25,3.23,Sysbench 1.1.0-254f7b1,cfs,32,300.0051,MySQL 5.7.25,cfs,/home/dc/i80/mysql/storage/146ec90750c92f05d0b17e6383ba1f68/data/07q6BrXqwxTN3F,4.19.0-ipanema-g8cd6f0a04f0c,i80,84.07,1.78,9908.6287
17,8.28,6.64,Sysbench 1.1.0-254f7b1,cfs,64,300.0095,MySQL 5.7.25,cfs,/home/dc/i80/mysql/storage/146ec90750c92f05d0b17e6383ba1f68/data/6H3Xonn5ccs09C,4.19.0-ipanema-g8cd6f0a04f0c,i80,2870.19,1.58,9629.7366
18,8.58,6.95,Sysbench 1.1.0-254f7b1,cfs,64,300.0108,MySQL 5.7.25,cfs,/home/dc/i80/mysql/storage/146ec90750c92f05d0b17e6383ba1f68/data/wouWJcGFsG5zse,4.19.0-ipanema-g8cd6f0a04f0c,i80,3309.8,1.66,9210.6989
19,16.41,10.95,Sysbench 1.1.0-254f7b1,cfs,128,300.0246,MySQL 5.7.25,cfs,/home/dc/i80/mysql/storage/146ec90750c92f05d0b17e6383ba1f68/data/oOVdKjcQ9VI9n8,4.19.0-ipanema-g8cd6f0a04f0c,i80,173.54,1.89,11682.9954
20,227.4,66.38,Sysbench 1.1.0-254f7b1,cfs,512,300.1454,MySQL 5.7.25,cfs,/home/dc/i80/mysql/storage/146ec90750c92f05d0b17e6383ba1f68/data/GygG8Lf1QojrVA,4.19.0-ipanema-g8cd6f0a04f0c,i80,3268.81,1.92,7709.9625
21,223.34,67.18,Sysbench 1.1.0-254f7b1,cfs,512,300.1534,MySQL 5.7.25,cfs,/home/dc/i80/mysql/storage/146ec90750c92f05d0b17e6383ba1f68/data/grbTDeOfU7OA07,4.19.0-ipanema-g8cd6f0a04f0c,i80,2518.24,1.89,7618.8364
22,57.87,28.52,Sysbench 1.1.0-254f7b1,cfs,256,300.0569,MySQL 5.7.25,cfs,/home/dc/i80/mysql/storage/146ec90750c92f05d0b17e6383ba1f68/data/iXtKf3XrntcHaM,4.19.0-ipanema-g8cd6f0a04f0c,i80,1567.04,1.97,8973.0327
23,27.66,16.07,Sysbench 1.1.0-254f7b1,cfs,160,300.0468,MySQL 5.7.25,cfs,/home/dc/i80/mysql/storage/146ec90750c92f05d0b17e6383ba1f68/data/PimEA86jvDWYbH,4.19.0-ipanema-g8cd6f0a04f0c,i80,1366.94,1.85,9952.5263
24,4.41,3.34,Sysbench 1.1.0-254f7b1,cfs,32,300.0051,MySQL 5.7.25,cfs,/home/dc/i80/mysql/storage/146ec90750c92f05d0b17e6383ba1f68/data/ftqqIALU4EudoR,4.19.0-ipanema-g8cd6f0a04f0c,i80,104.23,1.71,9575.3711
25,4.18,3.31,Sysbench 1.1.0-254f7b1,cfs,32,300.0047,MySQL 5.7.25,cfs,/home/dc/i80/mysql/storage/146ec90750c92f05d0b17e6383ba1f68/data/lmoIX9MX9VmN9J,4.19.0-ipanema-g8cd6f0a04f0c,i80,84.67,1.74,9669.3642
26,58.92,28.96,Sysbench 1.1.0-254f7b1,cfs,256,300.0643,MySQL 5.7.25,cfs,/home/dc/i80/mysql/storage/146ec90750c92f05d0b17e6383ba1f68/data/AbGxJvUILPtcxV,4.19.0-ipanema-g8cd6f0a04f0c,i80,1611.13,1.83,8836.4493
27,28.16,16.18,Sysbench 1.1.0-254f7b1,cfs,160,300.0391,MySQL 5.7.25,cfs,/home/dc/i80/mysql/storage/146ec90750c92f05d0b17e6383ba1f68/data/co2nHKp9zHuiAl,4.19.0-ipanema-g8cd6f0a04f0c,i80,742.64,1.78,9884.0241
28,8.74,6.8,Sysbench 1.1.0-254f7b1,cfs,64,300.0093,MySQL 5.7.25,cfs,/home/dc/i80/mysql/storage/146ec90750c92f05d0b17e6383ba1f68/data/TOlhv612sgqeyI,4.19.0-ipanema-g8cd6f0a04f0c,i80,119.39,1.77,9408.2921
29,16.41,11.15,Sysbench 1.1.0-254f7b1,cfs,128,300.0291,MySQL 5.7.25,cfs,/home/dc/i80/mysql/storage/146ec90750c92f05d0b17e6383ba1f68/data/8nhMdxloXBYhc1,4.19.0-ipanema-g8cd6f0a04f0c,i80,2541.33,1.82,11477.9217
30,223.34,66.17,Sysbench 1.1.0-254f7b1,cfs,512,300.1649,MySQL 5.7.25,cfs,/home/dc/i80/mysql/storage/146ec90750c92f05d0b17e6383ba1f68/data/ULqQEPr5thxsgV,4.19.0-ipanema-g8cd6f0a04f0c,i80,3127.57,1.88,7733.8468
31,16.41,11.29,Sysbench 1.1.0-254f7b1,cfs,128,300.023,MySQL 5.7.25,cfs,/home/dc/i80/mysql/storage/146ec90750c92f05d0b17e6383ba1f68/data/EkHZUtNHO3HCUR,4.19.0-ipanema-g8cd6f0a04f0c,i80,1455.9,1.89,11332.5519
32,28.16,16.42,Sysbench 1.1.0-254f7b1,cfs,160,300.1138,MySQL 5.7.25,cfs,/home/dc/i80/mysql/storage/146ec90750c92f05d0b17e6383ba1f68/data/DGuFDj6uxmlHyd,4.19.0-ipanema-g8cd6f0a04f0c,i80,1855.18,1.79,9739.5088
33,223.34,65.97,Sysbench 1.1.0-254f7b1,cfs,512,300.1595,MySQL 5.7.25,cfs,/home/dc/i80/mysql/storage/146ec90750c92f05d0b17e6383ba1f68/data/saG4ww35wx3a5H,4.19.0-ipanema-g8cd6f0a04f0c,i80,2663.55,1.87,7758.1259
34,8.58,6.67,Sysbench 1.1.0-254f7b1,cfs,64,300.0102,MySQL 5.7.25,cfs,/home/dc/i80/mysql/storage/146ec90750c92f05d0b17e6383ba1f68/data/xFVk29tnNZrMpS,4.19.0-ipanema-g8cd6f0a04f0c,i80,105.72,1.72,9598.7875
35,4.18,3.24,Sysbench 1.1.0-254f7b1,cfs,32,300.0049,MySQL 5.7.25,cfs,/home/dc/i80/mysql/storage/146ec90750c92f05d0b17e6383ba1f68/data/N1e0lLPGX4oyC1,4.19.0-ipanema-g8cd6f0a04f0c,i80,74.44,1.76,9858.1018
36,7.98,5.11,Sysbench 1.1.0-254f7b1,cfs_wwc_flat,64,300.0126,MySQL 5.7.25,cfs_wwc_flat,/home/dc/i80/mysql/storage/192dc191cbcd8f4cef21595109ec6c07/data/xFZQEANELNWjjU,4.19.0-ipanema-g8cd6f0a04f0c,i80,156.89,1.91,12528.3866
37,5.0,3.16,Sysbench 1.1.0-254f7b1,cfs_wwc_flat,32,300.0053,MySQL 5.7.25,cfs_wwc_flat,/home/dc/i80/mysql/storage/192dc191cbcd8f4cef21595109ec6c07/data/BpjC3iBfsjUMhw,4.19.0-ipanema-g8cd6f0a04f0c,i80,114.22,1.84,10136.0173
