,Unnamed: 0,batch,cpu_clk,fair_check_preempt_curr_hits,fair_check_preempt_curr_ns,fair_dequeue_task_hits,fair_dequeue_task_ns,fair_enqueue_task_hits,fair_enqueue_task_ns,fair_lb_idle_hits,fair_lb_idle_ns,fair_lb_periodic_hits,fair_lb_periodic_ns,fair_migrate_task_rq_hits,fair_migrate_task_rq_ns,fair_pick_next_task_hits,fair_pick_next_task_ns,fair_prio_changed_hits,fair_prio_changed_ns,fair_put_prev_task_hits,fair_put_prev_task_ns,fair_rq_offline_hits,fair_rq_offline_ns,fair_rq_online_hits,fair_rq_online_ns,fair_select_task_rq_hits,fair_select_task_rq_ns,fair_set_curr_task_hits,fair_set_curr_task_ns,fair_switched_from_hits,fair_switched_from_ns,fair_switched_to_hits,fair_switched_to_ns,fair_task_dead_hits,fair_task_dead_ns,fair_task_fork_hits,fair_task_fork_ns,fair_task_tick_hits,fair_task_tick_ns,fair_task_woken_hits,fair_task_woken_ns,fair_total_hits,fair_total_ns,fair_yield_task_hits,fair_yield_task_ns,fair_yield_to_task_hits,fair_yield_to_task_ns,file,idle_total_hits,idle_total_ns,ipanema_check_preempt_curr_hits,ipanema_check_preempt_curr_ns,ipanema_dequeue_task_hits,ipanema_dequeue_task_ns,ipanema_enqueue_task_hits,ipanema_enqueue_task_ns,ipanema_lb_idle_hits,ipanema_lb_idle_ns,ipanema_lb_periodic_hits,ipanema_lb_periodic_ns,ipanema_migrate_task_rq_hits,ipanema_migrate_task_rq_ns,ipanema_pick_next_task_hits,ipanema_pick_next_task_ns,ipanema_prio_changed_hits,ipanema_prio_changed_ns,ipanema_put_prev_task_hits,ipanema_put_prev_task_ns,ipanema_rq_offline_hits,ipanema_rq_offline_ns,ipanema_rq_online_hits,ipanema_rq_online_ns,ipanema_select_task_rq_hits,ipanema_select_task_rq_ns,ipanema_set_curr_task_hits,ipanema_set_curr_task_ns,ipanema_switched_from_hits,ipanema_switched_from_ns,ipanema_switched_to_hits,ipanema_switched_to_ns,ipanema_task_dead_hits,ipanema_task_dead_ns,ipanema_task_fork_hits,ipanema_task_fork_ns,ipanema_task_tick_hits,ipanema_task_tick_ns,ipanema_task_woken_hits,ipanema_task_woken_ns,ipanema_total_hits,ipanema_total_ns,ipanema_yield_task_hits,ipanema_yield_task_ns,ipanema_yield_to_task_hits,ipanema_yield_to_task_ns,kernel,ktime,machine,nr_load_updates,nr_migrations,nr_migrations_wc,nr_sleep,nr_switches,nr_uninterruptible,nr_wakeup,procstat_guest,procstat_guest_nice,procstat_idle,procstat_iowait,procstat_irq,procstat_nice,procstat_softirq,procstat_steal,procstat_system,procstat_total,procstat_user,sched_clk,sched_total_ns,scheduler,st_mtime,tasks,time
60,60,hackbench 1.0-3,10253.148396000266,17,16030,10443,137589296,10443,46164730,0,0,25102,161771684,25,39044,562649,1346301052,0,0,10411,2033926,0,0,0,0,1241,8416929,50,31773,1,581,0,0,50,31714,51,133227,509,6275966,0,0,621003,1708960565,11,154613,0,0,/root/storage/i80/hackbench/1.0-3/8ad1e1be2d861a72bf1856818385864c/data/wXuAl5jCU4bYFG,140386,469694116241,212959,6026280,483847,3494473603,483847,592375099,144240,337275705,201532,7044479814,356224,6977785,548709,1237216262,0,0,393731,244148549,0,0,0,0,366781,3915394147,8011,1256421,0,0,1,55,8010,815957,8009,82680,188445,1583250261,369290,12103006,3773636,18475875624,0,0,0,0,4.19.0-ipanema-gdc61d27d4a8a,10253.568186998367,i80,286497,355432,55140,379987,541826,0,371277,0,0,87437,15,0,0,139,0,75180,163298,527,10253.148399997504,26147968980,cfs_wwc_flat_4msLB scheduling policy,1554253920.0251513,8000,4.573
61,61,hackbench 1.0-3,8446.394390001893,10,7289,7862,100819458,7862,33850431,0,0,16584,110351733,17,23887,390562,839296092,0,0,7840,1508751,0,0,0,0,955,5917424,50,31643,1,786,0,0,50,37081,51,132846,416,5036174,0,0,432266,1097115749,6,102154,0,0,/root/storage/i80/hackbench/1.0-3/8ad1e1be2d861a72bf1856818385864c/data/N2x2t0w00Jswkp,87919,383771913194,163901,4590085,351671,2581865342,351671,419141141,89850,208177049,146336,5203706432,270791,5251706,379877,854631916,0,0,282168,174917906,0,0,0,0,261951,2895569194,6011,1012550,0,0,1,103,6010,792254,6009,64617,138958,1152524901,264056,8977157,2719261,13511222353,0,0,0,0,4.19.0-ipanema-gdc61d27d4a8a,8446.740607000887,i80,223669,270162,38629,272591,377284,0,265881,0,0,78919,14,0,0,114,0,55463,134949,439,8446.39437700063,20487544731,cfs_wwc_flat_4msLB scheduling policy,1554253791.2918775,6000,3.362
62,62,hackbench 1.0-3,12134.0876159966,26,19582,12969,169763750,12970,56861968,0,0,35167,210864186,37,54335,757017,2009070335,0,0,12922,2502062,0,0,0,0,1448,9709182,50,31624,1,832,0,0,50,32230,51,131900,640,7851904,0,0,833359,2467063255,11,169365,0,0,/root/storage/i80/hackbench/1.0-3/8ad1e1be2d861a72bf1856818385864c/data/Ik6mFvBUxPRFC6,205666,583464820412,259350,7017589,636959,4352601980,636959,750268420,211191,471308425,250701,8723923123,452447,8702660,739667,1619678235,0,0,516969,309530545,0,0,0,0,482637,4677960370,10011,1601802,0,0,1,103,10010,1172988,10009,111504,232672,1924828806,486212,14883719,4935795,22863590269,0,0,0,0,4.19.0-ipanema-gdc61d27d4a8a,12134.588385999205,i80,344880,451570,74830,498561,731167,0,487851,0,0,99627,33,0,0,161,0,92816,193251,614,12134.087602995336,32605536966,cfs_wwc_flat_4msLB scheduling policy,1554258035.1896665,10000,5.564
63,63,hackbench 1.0-3,4256.679336003959,11,4871,1697,15983753,1697,5735695,0,0,4566,37053516,6,8464,68001,162751783,0,0,1682,306029,0,0,0,0,365,2041012,49,28428,1,926,0,0,49,28823,51,134542,92,877181,0,0,78268,224962707,1,7684,0,0,/root/storage/i80/hackbench/1.0-3/8ad1e1be2d861a72bf1856818385864c/data/poTBUOutD3OYfy,15464,180882205241,23811,769501,57718,508730333,57718,79203702,15203,56437268,25340,932749622,45392,916209,65207,181848356,0,0,49742,33719513,0,0,0,0,46180,596764314,1011,147843,0,0,1,107,1010,91706,1009,11311,23282,197357163,46556,1574103,459180,2590321051,0,0,0,0,4.19.0-ipanema-gdc61d27d4a8a,4256.8554870039225,i80,92490,45243,13596,50935,71916,0,49225,0,0,58276,16,0,0,26,0,9446,67925,161,4256.6793310046205,9888387436,cfs_wwc_flat_4msLB scheduling policy,1554258084.6197093,1000,0.5920000000000001
64,64,hackbench 1.0-3,10124.393179997802,47,28161,10715,140145548,10715,47640965,0,0,8157,48980722,15,42257,542009,1264860318,0,0,10654,1977771,0,0,0,0,1627,11208275,50,31676,1,842,0,0,50,35084,51,130647,636,7635963,0,0,585025,1526490926,298,3772697,0,0,/root/storage/i80/hackbench/1.0-3/8ad1e1be2d861a72bf1856818385864c/data/DuYdjOxppXruLx,130739,473923137549,213582,5965572,475060,3347279577,475060,554452950,134707,311235235,197340,6929047072,355262,6813494,527463,1164177425,0,0,383209,238809219,0,0,0,0,355642,3715250312,8011,1356939,0,0,1,87,8010,965435,8009,82532,184874,1567538586,358461,11080210,3684691,17854054645,0,0,0,0,4.19.0-ipanema-gdc61d27d4a8a,10124.806079998612,i80,250857,354523,50765,369146,522001,0,360436,0,0,86838,15,0,0,148,0,73774,161315,540,10124.393193997445,81276655149,cfs_wwc_flat_4msLB scheduling policy,1554257847.949981,8000,4.465
65,65,hackbench 1.0-3,3489.419762000441,5,2530,458,1255176,458,993741,0,0,1255,8238773,4,15054,10498,14712454,0,0,450,76741,0,0,0,0,299,1330448,49,29580,1,819,0,0,49,28852,50,124759,51,223640,0,0,13627,27032567,0,0,0,0,/root/storage/i80/hackbench/1.0-3/8ad1e1be2d861a72bf1856818385864c/data/7dTGchR5RAghjH,5184,125805103130,46,1204,4864,13699963,4864,4338770,4849,18736800,1792,80258342,215,4809,9710,25742754,0,0,4838,626062,0,0,0,0,4765,16539629,51,10328,0,0,1,100,50,2699,49,682,504,1099517,4766,108626,41364,161170285,0,0,0,0,4.19.0-ipanema-gdc61d27d4a8a,3489.564240001142,i80,69064,220,210,7869,15620,0,7120,0,0,55324,5,0,0,10,0,370,55819,110,3489.4197689965367,755638067,cfs_wwc_flat_4msLB scheduling policy,1554258095.464158,40,0.049
66,66,hackbench 1.0-3,5029.316390000284,4,2004,2863,30968029,2863,10495869,0,0,5299,40983815,5,10737,127029,240149053,0,0,2853,537354,0,0,0,0,505,2999305,49,30811,1,812,0,0,49,29468,51,130685,155,1789512,0,0,141728,328164241,2,36787,0,0,/root/storage/i80/hackbench/1.0-3/8ad1e1be2d861a72bf1856818385864c/data/ZxUzN6cqSklT8P,27034,218675038420,53836,1461404,109335,920730123,109335,142361404,26716,72472726,47428,1742209681,84574,1685127,122843,289369171,0,0,93876,54354470,0,0,0,0,87585,1056239015,2011,312038,0,0,1,104,2010,258292,2009,20233,44722,368425965,88334,2864833,874615,4652764586,0,0,0,0,4.19.0-ipanema-gdc61d27d4a8a,5029.522445999086,i80,115116,84319,16306,93222,127179,0,90512,0,0,62026,11,0,0,36,0,17979,80252,200,5029.316363003105,9122679785,cfs_wwc_flat_4msLB scheduling policy,1554253804.76443,2000,1.119
67,67,hackbench 1.0-3,5022.380102999508,20,16549,2988,32568060,2988,11012686,0,0,5441,42719278,12,36342,121313,212714034,0,0,2967,589556,0,0,0,0,636,4050911,49,29903,1,1002,0,0,49,28345,51,121013,163,1744478,0,0,136759,306587518,81,955361,0,0,/root/storage/i80/hackbench/1.0-3/8ad1e1be2d861a72bf1856818385864c/data/59XVXLN9i77ldT,23118,213340035203,54959,1557102,109689,897171170,109689,136901484,22689,63129574,47585,1745976525,87965,1758863,116827,281594268,0,0,91767,55779200,0,0,0,0,85092,1063808771,2011,319843,0,0,1,104,2010,233442,2009,21891,45044,372449152,85869,2691942,863206,4623393331,0,0,0,0,4.19.0-ipanema-gdc61d27d4a8a,5022.5866390019655,i80,114776,87672,15251,90730,121068,0,88020,0,0,61789,15,0,0,39,0,18085,80145,217,5022.380091995001,11396201265,cfs_wwc_flat_4msLB scheduling policy,1554257968.1189034,2000,1.121
68,68,hackbench 1.0-3,12098.905769001693,33,21112,13051,174863628,13051,57427846,0,0,35364,212158250,42,60590,759591,1853692872,0,0,12999,2698229,0,0,0,0,1507,10316362,50,29703,1,825,0,0,50,29920,51,133827,625,7901100,0,0,836430,2319578953,15,244689,0,0,/root/storage/i80/hackbench/1.0-3/8ad1e1be2d861a72bf1856818385864c/data/Rv39O8uOhK3Tgi,203599,581235875595,265108,7449402,635203,4392215010,635203,767674417,208959,471349988,251766,8731154762,449800,8533769,742359,1625847040,0,0,521687,312837992,0,0,0,0,487013,4764085725,10011,1903220,0,0,1,104,10010,1075756,10009,108616,233358,1948509431,490313,15186810,4950800,23047932042,0,0,0,0,4.19.0-ipanema-gdc61d27d4a8a,12099.400839999318,i80,345694,448975,72493,502991,733784,0,492281,0,0,98751,18,0,0,159,0,93039,192628,661,12098.905761998147,34164511536,cfs_wwc_flat_4msLB scheduling policy,1554253991.7440865,10000,5.59
69,69,hackbench 1.0-3,6664.025243997575,11,8494,5341,65414361,5341,22088872,0,0,9852,70976767,9,9968,232811,413101117,0,0,5321,1019217,0,0,0,0,724,4476890,50,30336,1,795,0,0,50,33968,51,132170,300,3338636,0,0,259870,580724800,8,93209,0,0,/root/storage/i80/hackbench/1.0-3/8ad1e1be2d861a72bf1856818385864c/data/hrys2vXT7fPlUm,44597,292040742607,108764,3010128,216369,1689403123,216369,256600683,45063,113598166,95014,3450575852,174033,3378734,225408,521450807,0,0,174735,109171809,0,0,0,0,161860,1948096437,4011,652437,0,0,1,83,4010,447069,4009,44284,90686,754500991,163244,5515586,1683576,8856446189,0,0,0,0,4.19.0-ipanema-gdc61d27d4a8a,6664.301766999066,i80,166514,173605,24273,170038,226244,0,165328,0,0,69845,2,0,0,82,0,36251,106509,329,6664.025243997575,14188864875,cfs_wwc_flat_4msLB scheduling policy,1554258146.4142694,4000,2.221
