,avg_latency,client,client_sched,clients,duration,engine,engine_sched,events,file,kernel,machine,max_latency,min_latency,nr_load_updates,nr_migrations,nr_sleep,nr_switches,nr_uninterruptible,nr_wakeup,p95th_latency,st_mtime,sum_latency,throughput
0,9.17,sysbench 1.1.0,ule_wwc scheduling policy,64,300.0170,mongo v3.6.3,ule_wwc scheduling policy,2093584,/home/dc/storage/i44/mongo/v3.6.3/1605cad25d7375fea52b55710f622c8f/data/oD3rTQe1BCeDRB,4.19.0-ipanema-g9ba5ed25b696,i44,143.37,4.99,,,,,,,10.65,1552370445.2064533,19195298.83,6978.2181
1,9.31,sysbench 1.1.0,ule_wwc scheduling policy,64,300.0173,mongo v3.6.3,ule_wwc scheduling policy,2062766,/home/dc/storage/i44/mongo/v3.6.3/1605cad25d7375fea52b55710f622c8f/data/j6wYZqEQeEmRar,4.19.0-ipanema-g9ba5ed25b696,i44,140.72,5.08,,,,,,,10.84,1552317707.8988218,19195431.85,6875.4906
2,32.14,sysbench 1.1.0,ule_wwc scheduling policy,256,300.1584,mongo v3.6.3,ule_wwc scheduling policy,2389739,/home/dc/storage/i44/mongo/v3.6.3/1605cad25d7375fea52b55710f622c8f/data/BIt0knIiNXVh5Z,4.19.0-ipanema-g9ba5ed25b696,i44,1857.05,5.63,,,,,,,74.46,1552309581.6317396,76805679.04,7961.5925
3,9.17,sysbench 1.1.0,ule_wwc scheduling policy,64,300.0178,mongo v3.6.3,ule_wwc scheduling policy,2092479,/home/dc/storage/i44/mongo/v3.6.3/1605cad25d7375fea52b55710f622c8f/data/ICpvKcZTaWvlbn,4.19.0-ipanema-g9ba5ed25b696,i44,143.80,4.78,,,,,,,10.65,1552361895.3963256,19195436.27,6974.5172
4,33.30,sysbench 1.1.0,ule_wwc scheduling policy,256,300.0885,mongo v3.6.3,ule_wwc scheduling policy,2306332,/home/dc/storage/i44/mongo/v3.6.3/1605cad25d7375fea52b55710f622c8f/data/2NT5BjbXQwT6Cr,4.19.0-ipanema-g9ba5ed25b696,i44,1882.76,5.78,,,,,,,78.60,1552285190.8697722,76799134.73,7685.5060
5,16.43,sysbench 1.1.0,ule_wwc scheduling policy,128,300.0415,mongo v3.6.3,ule_wwc scheduling policy,2337247,/home/dc/storage/i44/mongo/v3.6.3/1605cad25d7375fea52b55710f622c8f/data/Hcp1yAEgJ16bQI,4.19.0-ipanema-g9ba5ed25b696,i44,304.02,5.33,,,,,,,21.50,1552220665.6819963,38393148.80,7789.7455
6,6.66,sysbench 1.1.0,ule_wwc scheduling policy,32,300.0075,mongo v3.6.3,ule_wwc scheduling policy,1441713,/home/dc/storage/i44/mongo/v3.6.3/1605cad25d7375fea52b55710f622c8f/data/vWhrFd3xMWvoFH,4.19.0-ipanema-g9ba5ed25b696,i44,124.05,4.98,,,,,,,7.84,1552169672.1266935,9597429.41,4805.5907
7,15.70,sysbench 1.1.0,ule_wwc scheduling policy,128,300.0422,mongo v3.6.3,ule_wwc scheduling policy,2446019,/home/dc/storage/i44/mongo/v3.6.3/1605cad25d7375fea52b55710f622c8f/data/1gbELEe3wzK015,4.19.0-ipanema-g9ba5ed25b696,i44,330.40,4.98,,,,,,,20.37,1552299232.7000444,38393388.79,8152.2491
8,32.77,sysbench 1.1.0,ule_wwc scheduling policy,256,300.1104,mongo v3.6.3,ule_wwc scheduling policy,2343608,/home/dc/storage/i44/mongo/v3.6.3/1605cad25d7375fea52b55710f622c8f/data/MNmx82Dxp47Po3,4.19.0-ipanema-g9ba5ed25b696,i44,2117.55,5.61,,,,,,,75.82,1552403310.099252,76799714.28,7809.1529
9,16.42,sysbench 1.1.0,ule_wwc scheduling policy,128,300.0439,mongo v3.6.3,ule_wwc scheduling policy,2338049,/home/dc/storage/i44/mongo/v3.6.3/1605cad25d7375fea52b55710f622c8f/data/0GEKKe6fWA72Br,4.19.0-ipanema-g9ba5ed25b696,i44,337.37,5.14,,,,,,,21.50,1552175096.4249012,38394135.39,7792.3562
10,9.10,sysbench 1.1.0,ule_wwc scheduling policy,64,300.0179,mongo v3.6.3,ule_wwc scheduling policy,2108768,/home/dc/storage/i44/mongo/v3.6.3/1605cad25d7375fea52b55710f622c8f/data/0L2vW0r2yKDeNK,4.19.0-ipanema-g9ba5ed25b696,i44,140.03,5.12,,,,,,,10.46,1552214773.176646,19195434.09,7028.8083
11,31.80,sysbench 1.1.0,ule_wwc scheduling policy,256,300.0902,mongo v3.6.3,ule_wwc scheduling policy,2415141,/home/dc/storage/i44/mongo/v3.6.3/1605cad25d7375fea52b55710f622c8f/data/kdZJBr8cQ2wig3,4.19.0-ipanema-g9ba5ed25b696,i44,1963.02,5.39,,,,,,,74.46,1552208449.5492887,76798933.29,8048.0496
12,15.83,sysbench 1.1.0,ule_wwc scheduling policy,128,300.0421,mongo v3.6.3,ule_wwc scheduling policy,2425804,/home/dc/storage/i44/mongo/v3.6.3/1605cad25d7375fea52b55710f622c8f/data/QqpZ049JYb4zSb,4.19.0-ipanema-g9ba5ed25b696,i44,323.58,5.19,,,,,,,20.74,1552167392.3475847,38393682.15,8084.8776
13,31.84,sysbench 1.1.0,ule_wwc scheduling policy,256,300.0882,mongo v3.6.3,ule_wwc scheduling policy,2412217,/home/dc/storage/i44/mongo/v3.6.3/1605cad25d7375fea52b55710f622c8f/data/NeSatIfWQkI4Dh,4.19.0-ipanema-g9ba5ed25b696,i44,1937.59,5.52,,,,,,,74.46,1552251821.9402776,76799232.39,8038.3604
14,32.08,sysbench 1.1.0,ule_wwc scheduling policy,256,300.0852,mongo v3.6.3,ule_wwc scheduling policy,2393818,/home/dc/storage/i44/mongo/v3.6.3/1605cad25d7375fea52b55710f622c8f/data/pM93jZd3y3hWNp,4.19.0-ipanema-g9ba5ed25b696,i44,2611.15,5.06,,,,,,,74.46,1552223851.8214614,76798349.70,7977.1275
15,9.15,sysbench 1.1.0,ule_wwc scheduling policy,64,300.0172,mongo v3.6.3,ule_wwc scheduling policy,2098756,/home/dc/storage/i44/mongo/v3.6.3/1605cad25d7375fea52b55710f622c8f/data/g5grpIX9S9QxEx,4.19.0-ipanema-g9ba5ed25b696,i44,147.87,5.10,,,,,,,10.65,1552301475.6045907,19195506.33,6995.4528
16,6.64,sysbench 1.1.0,ule_wwc scheduling policy,32,300.0087,mongo v3.6.3,ule_wwc scheduling policy,1444668,/home/dc/storage/i44/mongo/v3.6.3/1605cad25d7375fea52b55710f622c8f/data/rdxOgIxzYTmP8O,4.19.0-ipanema-g9ba5ed25b696,i44,121.42,4.83,,,,,,,7.84,1552196727.290766,9597528.49,4815.4207
17,16.31,sysbench 1.1.0,ule_wwc scheduling policy,128,300.0431,mongo v3.6.3,ule_wwc scheduling policy,2353861,/home/dc/storage/i44/mongo/v3.6.3/1605cad25d7375fea52b55710f622c8f/data/cL0eQYeREIE8TK,4.19.0-ipanema-g9ba5ed25b696,i44,327.26,5.04,,,,,,,21.11,1552291567.0895152,38393733.96,7845.0761
